Model,LastTimeWithData,ti,Time,Predict,Real
Dummy,2023-11-17 12:30:00,1,2023-11-17 13:00:00,0.0,2.0
Dummy,2023-11-17 13:00:00,1,2023-11-17 13:30:00,2.0,2.0
Dummy,2023-11-17 12:30:00,2,2023-11-17 13:30:00,0.0,2.0
Dummy,2023-11-17 13:30:00,1,2023-11-17 14:00:00,2.0,6.0
Dummy,2023-11-17 13:00:00,2,2023-11-17 14:00:00,2.0,6.0
Dummy,2023-11-17 12:30:00,3,2023-11-17 14:00:00,0.0,6.0
Dummy,2023-11-17 14:00:00,1,2023-11-17 14:30:00,6.0,8.0
Dummy,2023-11-17 13:30:00,2,2023-11-17 14:30:00,2.0,8.0
Dummy,2023-11-17 13:00:00,3,2023-11-17 14:30:00,2.0,8.0
Dummy,2023-11-17 12:30:00,4,2023-11-17 14:30:00,0.0,8.0
Dummy,2023-11-17 14:30:00,1,2023-11-17 15:00:00,8.0,0.0
Dummy,2023-11-17 14:00:00,2,2023-11-17 15:00:00,6.0,0.0
Dummy,2023-11-17 13:30:00,3,2023-11-17 15:00:00,2.0,0.0
Dummy,2023-11-17 13:00:00,4,2023-11-17 15:00:00,2.0,0.0
Dummy,2023-11-17 12:30:00,5,2023-11-17 15:00:00,0.0,0.0
Dummy,2023-11-17 15:00:00,1,2023-11-17 15:30:00,0.0,2.0
Dummy,2023-11-17 14:30:00,2,2023-11-17 15:30:00,8.0,2.0
Dummy,2023-11-17 14:00:00,3,2023-11-17 15:30:00,6.0,2.0
Dummy,2023-11-17 13:30:00,4,2023-11-17 15:30:00,2.0,2.0
Dummy,2023-11-17 13:00:00,5,2023-11-17 15:30:00,2.0,2.0
Dummy,2023-11-17 12:30:00,6,2023-11-17 15:30:00,0.0,2.0
Dummy,2023-11-17 15:30:00,1,2023-11-17 16:00:00,2.0,1.0
Dummy,2023-11-17 15:00:00,2,2023-11-17 16:00:00,0.0,1.0
Dummy,2023-11-17 14:30:00,3,2023-11-17 16:00:00,8.0,1.0
Dummy,2023-11-17 14:00:00,4,2023-11-17 16:00:00,6.0,1.0
Dummy,2023-11-17 13:30:00,5,2023-11-17 16:00:00,2.0,1.0
Dummy,2023-11-17 13:00:00,6,2023-11-17 16:00:00,2.0,1.0
Dummy,2023-11-17 16:00:00,1,2023-11-17 16:30:00,1.0,2.0
Dummy,2023-11-17 15:30:00,2,2023-11-17 16:30:00,2.0,2.0
Dummy,2023-11-17 15:00:00,3,2023-11-17 16:30:00,0.0,2.0
Dummy,2023-11-17 14:30:00,4,2023-11-17 16:30:00,8.0,2.0
Dummy,2023-11-17 14:00:00,5,2023-11-17 16:30:00,6.0,2.0
Dummy,2023-11-17 13:30:00,6,2023-11-17 16:30:00,2.0,2.0
Dummy,2023-11-17 16:30:00,1,2023-11-17 17:00:00,2.0,0.0
Dummy,2023-11-17 16:00:00,2,2023-11-17 17:00:00,1.0,0.0
Dummy,2023-11-17 15:30:00,3,2023-11-17 17:00:00,2.0,0.0
Dummy,2023-11-17 15:00:00,4,2023-11-17 17:00:00,0.0,0.0
Dummy,2023-11-17 14:30:00,5,2023-11-17 17:00:00,8.0,0.0
Dummy,2023-11-17 14:00:00,6,2023-11-17 17:00:00,6.0,0.0
Dummy,2023-11-17 17:00:00,1,2023-11-17 17:30:00,0.0,2.0
Dummy,2023-11-17 16:30:00,2,2023-11-17 17:30:00,2.0,2.0
Dummy,2023-11-17 16:00:00,3,2023-11-17 17:30:00,1.0,2.0
Dummy,2023-11-17 15:30:00,4,2023-11-17 17:30:00,2.0,2.0
Dummy,2023-11-17 15:00:00,5,2023-11-17 17:30:00,0.0,2.0
Dummy,2023-11-17 14:30:00,6,2023-11-17 17:30:00,8.0,2.0
Dummy,2023-11-17 17:30:00,1,2023-11-17 18:00:00,2.0,1.0
Dummy,2023-11-17 17:00:00,2,2023-11-17 18:00:00,0.0,1.0
Dummy,2023-11-17 16:30:00,3,2023-11-17 18:00:00,2.0,1.0
Dummy,2023-11-17 16:00:00,4,2023-11-17 18:00:00,1.0,1.0
Dummy,2023-11-17 15:30:00,5,2023-11-17 18:00:00,2.0,1.0
Dummy,2023-11-17 15:00:00,6,2023-11-17 18:00:00,0.0,1.0
Dummy,2023-11-17 18:00:00,1,2023-11-17 18:30:00,1.0,3.0
Dummy,2023-11-17 17:30:00,2,2023-11-17 18:30:00,2.0,3.0
Dummy,2023-11-17 17:00:00,3,2023-11-17 18:30:00,0.0,3.0
Dummy,2023-11-17 16:30:00,4,2023-11-17 18:30:00,2.0,3.0
Dummy,2023-11-17 16:00:00,5,2023-11-17 18:30:00,1.0,3.0
Dummy,2023-11-17 15:30:00,6,2023-11-17 18:30:00,2.0,3.0
Dummy,2023-11-17 18:30:00,1,2023-11-17 19:00:00,3.0,2.0
Dummy,2023-11-17 18:00:00,2,2023-11-17 19:00:00,1.0,2.0
Dummy,2023-11-17 17:30:00,3,2023-11-17 19:00:00,2.0,2.0
Dummy,2023-11-17 17:00:00,4,2023-11-17 19:00:00,0.0,2.0
Dummy,2023-11-17 16:30:00,5,2023-11-17 19:00:00,2.0,2.0
Dummy,2023-11-17 16:00:00,6,2023-11-17 19:00:00,1.0,2.0
Dummy,2023-11-17 19:00:00,1,2023-11-17 19:30:00,2.0,2.0
Dummy,2023-11-17 18:30:00,2,2023-11-17 19:30:00,3.0,2.0
Dummy,2023-11-17 18:00:00,3,2023-11-17 19:30:00,1.0,2.0
Dummy,2023-11-17 17:30:00,4,2023-11-17 19:30:00,2.0,2.0
Dummy,2023-11-17 17:00:00,5,2023-11-17 19:30:00,0.0,2.0
Dummy,2023-11-17 16:30:00,6,2023-11-17 19:30:00,2.0,2.0
Dummy,2023-11-17 19:30:00,1,2023-11-17 20:00:00,2.0,2.0
Dummy,2023-11-17 19:00:00,2,2023-11-17 20:00:00,2.0,2.0
Dummy,2023-11-17 18:30:00,3,2023-11-17 20:00:00,3.0,2.0
Dummy,2023-11-17 18:00:00,4,2023-11-17 20:00:00,1.0,2.0
Dummy,2023-11-17 17:30:00,5,2023-11-17 20:00:00,2.0,2.0
Dummy,2023-11-17 17:00:00,6,2023-11-17 20:00:00,0.0,2.0
