LastTimeWithData,ti,Time,Predict,Real
2023-11-17 12:30:00,1,2023-11-17 13:00:00,0.16714554,0.0
2023-11-17 13:00:00,1,2023-11-17 13:30:00,0.16563332,2.0
2023-11-17 13:30:00,1,2023-11-17 14:00:00,1.6793728,1.0
2023-11-17 14:00:00,1,2023-11-17 14:30:00,1.0302444,2.0
2023-11-17 14:30:00,1,2023-11-17 15:00:00,1.8865844,0.0
2023-11-17 15:00:00,1,2023-11-17 15:30:00,0.16222154,0.0
2023-11-17 15:30:00,1,2023-11-17 16:00:00,0.14887922,3.0
2023-11-17 16:00:00,1,2023-11-17 16:30:00,2.4027452,1.0
2023-11-17 16:30:00,1,2023-11-17 17:00:00,0.85017884,1.0
2023-11-17 17:00:00,1,2023-11-17 17:30:00,0.99086356,1.0
2023-11-17 17:30:00,1,2023-11-17 18:00:00,1.0812085,1.0
2023-11-17 18:00:00,1,2023-11-17 18:30:00,1.1268195,1.0
2023-11-17 18:30:00,1,2023-11-17 19:00:00,1.1519516,1.0
2023-11-17 19:00:00,1,2023-11-17 19:30:00,1.1676567,3.0
2023-11-17 19:30:00,1,2023-11-17 20:00:00,2.6802921,2.0
2023-11-17 20:00:00,1,2023-11-17 20:30:00,2.0308292,1.0
2023-11-17 20:30:00,1,2023-11-17 21:00:00,1.2093792,1.0
2023-11-17 21:00:00,1,2023-11-17 21:30:00,1.1793276,0.0
2023-11-17 21:30:00,1,2023-11-17 22:00:00,0.2954253,1.0
2023-11-17 22:00:00,1,2023-11-17 22:30:00,1.0011626,2.0
2023-11-17 22:30:00,1,2023-11-17 23:00:00,1.8812746,2.0
2023-11-17 23:00:00,1,2023-11-17 23:30:00,2.033563,0.0
2023-11-17 23:30:00,1,2023-11-18 00:00:00,0.24964023,3.0
2023-11-18 00:00:00,1,2023-11-18 00:30:00,2.4301932,4.0
2023-11-18 00:30:00,1,2023-11-18 01:00:00,3.6335673,3.0
2023-11-18 01:00:00,1,2023-11-18 01:30:00,2.99578,3.0
2023-11-18 01:30:00,1,2023-11-18 02:00:00,3.0827334,2.0
2023-11-18 02:00:00,1,2023-11-18 02:30:00,2.248865,2.0
2023-11-18 02:30:00,1,2023-11-18 03:00:00,2.201681,7.0
2023-11-18 03:00:00,1,2023-11-18 03:30:00,6.0393233,4.0
2023-11-18 03:30:00,1,2023-11-18 04:00:00,3.4685593,4.0
2023-11-18 04:00:00,1,2023-11-18 04:30:00,3.77878,4.0
2023-11-18 04:30:00,1,2023-11-18 05:00:00,3.9708836,4.0
2023-11-18 05:00:00,1,2023-11-18 05:30:00,4.075867,4.0
2023-11-18 05:30:00,1,2023-11-18 06:00:00,4.1328864,5.0
2023-11-18 06:00:00,1,2023-11-18 06:30:00,4.951764,5.0
2023-11-18 06:30:00,1,2023-11-18 07:00:00,5.06853,7.0
2023-11-18 07:00:00,1,2023-11-18 07:30:00,6.6458354,6.0
2023-11-18 07:30:00,1,2023-11-18 08:00:00,6.0117655,3.0
2023-11-18 08:00:00,1,2023-11-18 08:30:00,3.1846585,2.0
2023-11-18 08:30:00,1,2023-11-18 09:00:00,2.275356,0.0
2023-11-18 09:00:00,1,2023-11-18 09:30:00,0.3803507,0.0
2023-11-18 09:30:00,1,2023-11-18 10:00:00,0.25212613,1.0
2023-11-18 10:00:00,1,2023-11-18 10:30:00,0.9871117,1.0
2023-11-18 10:30:00,1,2023-11-18 11:00:00,1.076525,0.0
2023-11-18 11:00:00,1,2023-11-18 11:30:00,0.24296062,3.0
2023-11-18 11:30:00,1,2023-11-18 12:00:00,2.4333982,1.0
2023-11-18 12:00:00,1,2023-11-18 12:30:00,0.866472,3.0
2023-11-18 12:30:00,1,2023-11-18 13:00:00,2.5493307,0.0
2023-11-18 13:00:00,1,2023-11-18 13:30:00,-0.12169012,2.0
2023-11-18 13:30:00,1,2023-11-18 14:00:00,1.5459824,0.0
2023-11-18 14:00:00,1,2023-11-18 14:30:00,-0.060590748,0.0
2023-11-18 14:30:00,1,2023-11-18 15:00:00,0.052588,0.0
2023-11-18 15:00:00,1,2023-11-18 15:30:00,0.10940549,2.0
2023-11-18 15:30:00,1,2023-11-18 16:00:00,1.6640768,1.0
2023-11-18 16:00:00,1,2023-11-18 16:30:00,1.0225129,0.0
2023-11-18 16:30:00,1,2023-11-18 17:00:00,0.21050712,1.0
2023-11-18 17:00:00,1,2023-11-18 17:30:00,0.96299297,2.0
2023-11-18 17:30:00,1,2023-11-18 18:00:00,1.8664656,0.0
2023-11-18 18:00:00,1,2023-11-18 18:30:00,0.15229851,2.0
2023-11-18 18:30:00,1,2023-11-18 19:00:00,1.6631866,2.0
2023-11-18 19:00:00,1,2023-11-18 19:30:00,1.9225773,1.0
2023-11-18 19:30:00,1,2023-11-18 20:00:00,1.1589077,1.0
2023-11-18 20:00:00,1,2023-11-18 20:30:00,1.1602083,2.0
2023-11-18 20:30:00,1,2023-11-18 21:00:00,1.9510138,0.0
2023-11-18 21:00:00,1,2023-11-18 21:30:00,0.20289926,0.0
2023-11-18 21:30:00,1,2023-11-18 22:00:00,0.17180069,4.0
2023-11-18 22:00:00,1,2023-11-18 22:30:00,3.1844654,5.0
2023-11-18 22:30:00,1,2023-11-18 23:00:00,4.5164776,2.0
2023-11-18 23:00:00,1,2023-11-18 23:30:00,1.8389685,2.0
2023-11-18 23:30:00,1,2023-11-19 00:00:00,1.9878343,0.0
2023-11-19 00:00:00,1,2023-11-19 00:30:00,0.21181008,0.0
2023-11-19 00:30:00,1,2023-11-19 01:00:00,0.17481755,0.0
2023-11-19 01:00:00,1,2023-11-19 01:30:00,0.18235146,0.0
2023-11-19 01:30:00,1,2023-11-19 02:00:00,0.17425835,1.0
2023-11-19 02:00:00,1,2023-11-19 02:30:00,0.95177525,1.0
2023-11-19 02:30:00,1,2023-11-19 03:00:00,1.0684874,1.0
2023-11-19 03:00:00,1,2023-11-19 03:30:00,1.1220083,0.0
2023-11-19 03:30:00,1,2023-11-19 04:00:00,0.26961234,1.0
2023-11-19 04:00:00,1,2023-11-19 04:30:00,0.99123144,1.0
2023-11-19 04:30:00,1,2023-11-19 05:00:00,1.0844857,1.0
2023-11-19 05:00:00,1,2023-11-19 05:30:00,1.1282203,0.0
2023-11-19 05:30:00,1,2023-11-19 06:00:00,0.27202177,1.0
2023-11-19 06:00:00,1,2023-11-19 06:30:00,0.99179435,1.0
2023-11-19 06:30:00,1,2023-11-19 07:00:00,1.0844857,1.0
2023-11-19 07:00:00,1,2023-11-19 07:30:00,1.1282203,2.0
2023-11-19 07:30:00,1,2023-11-19 08:00:00,1.9360337,0.0
2023-11-19 08:00:00,1,2023-11-19 08:30:00,0.19634178,0.0
2023-11-19 08:30:00,1,2023-11-19 09:00:00,0.16444768,0.0
2023-11-19 09:00:00,1,2023-11-19 09:30:00,0.16151607,0.0
2023-11-19 09:30:00,1,2023-11-19 10:00:00,0.16213931,0.0
2023-11-19 10:00:00,1,2023-11-19 10:30:00,0.16471009,0.0
2023-11-19 10:30:00,1,2023-11-19 11:00:00,0.1676567,0.0
2023-11-19 11:00:00,1,2023-11-19 11:30:00,0.16726781,1.0
2023-11-19 11:30:00,1,2023-11-19 12:00:00,0.9515737,1.0
2023-11-19 12:00:00,1,2023-11-19 12:30:00,1.06853,2.0
2023-11-19 12:30:00,1,2023-11-19 13:00:00,1.9118437,1.0
2023-11-19 13:00:00,1,2023-11-19 13:30:00,1.1615098,0.0
2023-11-19 13:30:00,1,2023-11-19 14:00:00,0.2824039,0.0
2023-11-19 14:00:00,1,2023-11-19 14:30:00,0.21509574,1.0
2023-11-19 14:30:00,1,2023-11-19 15:00:00,0.9696383,0.0
2023-11-19 15:00:00,1,2023-11-19 15:30:00,0.18885434,0.0
2023-11-19 15:30:00,1,2023-11-19 16:00:00,0.17094527,0.0
2023-11-19 16:00:00,1,2023-11-19 16:30:00,0.16637862,1.0
2023-11-19 16:30:00,1,2023-11-19 17:00:00,0.95052433,1.0
2023-11-19 17:00:00,1,2023-11-19 17:30:00,1.0681219,2.0
2023-11-19 17:30:00,1,2023-11-19 18:00:00,1.9115812,3.0
2023-11-19 18:00:00,1,2023-11-19 18:30:00,2.8511224,0.0
2023-11-19 18:30:00,1,2023-11-19 19:00:00,0.09623286,1.0
2023-11-19 19:00:00,1,2023-11-19 19:30:00,0.89601123,1.0
2023-11-19 19:30:00,1,2023-11-19 20:00:00,1.0344422,0.0
2023-11-19 20:00:00,1,2023-11-19 20:30:00,0.22110847,1.0
2023-11-19 20:30:00,1,2023-11-19 21:00:00,0.97278064,3.0
2023-11-19 21:00:00,1,2023-11-19 21:30:00,2.6104903,4.0
