Model,LastTimeWithData,ti,Time,Predict,Real
RNN_changes,2023-11-17 12:30:00,1,2023-11-17 13:00:00,-0.19481735,2.0
RNN_changes,2023-11-17 13:00:00,1,2023-11-17 13:30:00,2.0457602,2.0
RNN_changes,2023-11-17 13:30:00,1,2023-11-17 14:00:00,2.3447378,6.0
RNN_changes,2023-11-17 14:00:00,1,2023-11-17 14:30:00,6.0977583,8.0
RNN_changes,2023-11-17 14:30:00,1,2023-11-17 15:00:00,8.225165,0.0
RNN_changes,2023-11-17 15:00:00,1,2023-11-17 15:30:00,0.06445848,2.0
RNN_changes,2023-11-17 15:30:00,1,2023-11-17 16:00:00,2.1724992,1.0
RNN_changes,2023-11-17 16:00:00,1,2023-11-17 16:30:00,1.4492625,2.0
RNN_changes,2023-11-17 16:30:00,1,2023-11-17 17:00:00,2.5940628,0.0
RNN_changes,2023-11-17 17:00:00,1,2023-11-17 17:30:00,0.52099043,2.0
RNN_changes,2023-11-17 17:30:00,1,2023-11-17 18:00:00,2.3716383,1.0
RNN_changes,2023-11-17 18:00:00,1,2023-11-17 18:30:00,1.1577972,3.0
RNN_changes,2023-11-17 18:30:00,1,2023-11-17 19:00:00,3.118275,2.0
RNN_changes,2023-11-17 19:00:00,1,2023-11-17 19:30:00,2.2606726,2.0
RNN_changes,2023-11-17 19:30:00,1,2023-11-17 20:00:00,2.2622135,2.0
RNN_changes,2023-11-17 20:00:00,1,2023-11-17 20:30:00,2.1662762,1.0
RNN_changes,2023-11-17 20:30:00,1,2023-11-17 21:00:00,0.8561203,3.0
RNN_changes,2023-11-17 21:00:00,1,2023-11-17 21:30:00,2.9476616,6.0
RNN_changes,2023-11-17 21:30:00,1,2023-11-17 22:00:00,5.894056,7.0
RNN_changes,2023-11-17 22:00:00,1,2023-11-17 22:30:00,7.1732564,3.0
RNN_changes,2023-11-17 22:30:00,1,2023-11-17 23:00:00,3.0429883,7.0
RNN_changes,2023-11-17 23:00:00,1,2023-11-17 23:30:00,6.956001,6.0
RNN_changes,2023-11-17 23:30:00,1,2023-11-18 00:00:00,6.281277,4.0
RNN_changes,2023-11-18 00:00:00,1,2023-11-18 00:30:00,4.219968,5.0
RNN_changes,2023-11-18 00:30:00,1,2023-11-18 01:00:00,5.230427,11.0
